state_abbr,municipio_name,sex,pop_15,no_school,preschool,elementary,secondary,highschool,higher_edu,other,schoolyrs
MEX,Isidro Fabela,Mujeres,4216,5.74003795066413,0.11859582542694488,30.953510436432595,32.020872865275116,21.9165085388994,8.87096774193548,0.37950664136622,8.2040572
MEX,Ixtapaluca,Total,357839,3.02035272846168,0.16152515516754706,19.798848085312063,33.065708321340004,29.0334480031522,14.3014037039003,0.618714002666,9.5528956
MEX,Ixtapaluca,Hombres,172566,2.24435868015715,0.1437131300487905,18.02440805257117,35.161039834034476,29.5307302713164,14.148209960247,0.74754007162476,9.6799468
MEX,Ixtapaluca,Mujeres,185273,3.7431250101202,0.17811553761206228,21.45158765713297,31.114085700560736,28.5702719770285,14.4440906122316,0.49872350531378,9.4350101
MEX,Ixtapan de la Sal,Total,24879,7.12247276819808,0.2974396077012677,34.83660918847216,28.53008561437353,16.2466337071425,12.6653000522529,0.30145906185939,8.0441823
MEX,Ixtapan de la Sal,Hombres,11699,6.5390204290965,0.3675527822890806,35.56714249081112,29.81451406103084,14.8730660740234,12.4198649457218,0.41883921702709,7.9897678
MEX,Ixtapan de la Sal,Mujeres,13180,7.64036418816388,0.23520485584217968,34.18816388467375,27.389984825493112,17.465857359635802,12.8831562974203,0.19726858877086,8.0923768
MEX,Ixtapan del Oro,Total,4468,10.5863921217547,0.0895255147717031,47.89615040286476,28.715308863025868,9.37779767233661,3.1781557743957,0.15666965085049,5.9695357
MEX,Ixtapan del Oro,Hombres,2244,9.04634581105169,0.08912655971478882,48.61853832442059,30.12477718360061,8.73440285204991,3.29768270944741,0.08912655971479,6.0846484
MEX,Ixtapan del Oro,Mujeres,2224,12.1402877697841,0.08992805755395084,47.16726618705029,27.29316546762585,10.0269784172661,3.05755395683453,0.22482014388489,5.8518337
MEX,Ixtlahuaca,Total,106272,9.2432625715146,0.13926528154170148,30.26761517615175,33.198772959951796,17.4486224028906,9.6045995182174,0.097862089732,7.9719038
MEX,Ixtlahuaca,Hombres,49473,5.18262486608857,0.13138479574717327,30.139672144401906,36.274331453520055,18.4342974956036,9.72853879894083,0.10915044569765,8.3754987
MEX,Ixtlahuaca,Mujeres,56799,12.7801545801862,0.1461293332629042,30.379055969295187,30.519903519428127,16.5900808112818,9.49664606771246,0.08802971883307,7.6206835
MEX,Jaltenco,Total,20585,2.23463687150838,0.24775321836288536,21.054165654602844,32.67427738644641,28.7102258926402,14.9332037891668,0.14573718727228,9.6738611
MEX,Jaltenco,Hombres,9721,1.41960703631313,0.24688818022836984,18.12570723176627,34.914103487295534,29.8940438226519,15.2144841065734,0.18516613517127,9.8881775
MEX,Jaltenco,Mujeres,10864,2.96391752577319,0.24852724594992495,23.674521354933663,30.670103092783478,27.6509572901325,14.6815169366715,0.11045655375552,9.48238
MEX,Jilotepec,Total,62145,5.38096387480891,0.35561992115213925,32.04441226164609,34.27789846327133,17.0037814787995,10.7780191487649,0.15930485155684,8.1561181
MEX,Jilotepec,Hombres,29809,3.68009661511624,0.24489248213626286,31.493844141031165,37.307524573115444,17.6121305645945,9.47700358951994,0.18450803448622,8.2560145
MEX,Jilotepec,Mujeres,32336,6.94891142998515,0.45769421078673467,32.551954477981184,31.485032162295855,16.4429737753587,11.9773626917367,0.13607125185551,8.0639858
MEX,Jilotzingo,Total,13496,4.7940130409009996,0.04445761707172336,27.55631298162415,33.758150563129796,21.6434499110847,11.8627741553052,0.34084173088322,8.7640432
MEX,Jilotzingo,Hombres,6411,3.55638745905475,0.031196381219778482,25.315863359850226,36.68694431445945,22.4457962876306,11.7142411480268,0.24957104975822,8.9800909
MEX,Jilotzingo,Mujeres,7085,5.91390261115031,0.05645730416372144,29.583627381792475,31.107974594213083,20.9174311926605,11.9971771347918,0.42342978122794,8.5678906
MEX,Jiquipilco,Total,50156,8.61512082303214,0.225297073131826,32.45673498684102,34.079671425153464,16.701890102879,7.74383922162852,0.17744636733391,7.6397207
MEX,Jiquipilco,Hombres,23539,5.51425294192616,0.15718594672670583,32.60971154254641,37.49946896639617,16.4110624920344,7.6086494753388,0.19966863503122,7.8903099
MEX,Jiquipilco,Mujeres,26617,11.3574031633918,0.285531802983052,32.32144869820032,31.055340571814966,16.9590862982304,7.86339557425705,0.15779389112221,7.4181742
MEX,Jocotitlán,Total,46552,6.27255542189379,0.2298504897748737,26.9247293349372,31.425073036604157,19.1785530159821,15.8618319298848,0.10740677092283,8.795571
MEX,Jocotitlán,Hombres,21905,4.25473636156128,0.29217073727459303,26.47340789774024,33.293768545994034,20.4565167769915,15.1472266605797,0.08217301985847,8.965792
MEX,Jocotitlán,Mujeres,24647,8.06589037205339,0.17446342354038968,27.32584087312854,29.764271513774453,18.0427638252119,16.4969367468657,0.1298332454254,8.6443766
MEX,Joquicingo,Total,9553,6.10279493352873,0.25122998011095715,33.2879723647021,35.549042185700756,16.2357374646707,8.37433267036533,0.19889040092117,7.9061777
MEX,Joquicingo,Hombres,4588,4.68613775065388,0.23975588491716995,31.38622493461195,36.29032258064512,18.3522231909328,8.95815170008718,0.0871839581517,8.2383034
MEX,Joquicingo,Mujeres,4965,7.41188318227593,0.26183282980865413,35.045317220543765,34.864048338368505,14.2799597180261,7.83484390735146,0.30211480362537,7.5989077
MEX,Juchitepec,Total,17803,5.71813739257428,0.2640004493624632,27.911026231533988,35.690613941470524,22.1591866539347,8.17839689939897,0.07863843172499,8.3342151
MEX,Juchitepec,Hombres,8570,5.33255542590431,0.17502917152858688,26.6744457409568,36.51108518086348,22.8354725787631,8.40140023337223,0.07001166861143,8.436404
MEX,Juchitepec,Mujeres,9233,6.07603162569045,0.3465829091302878,29.05881078739299,34.92905881078738,21.5314632297194,7.97140690999675,0.08664572728257,8.2393357
MEX,La Paz,Total,210400,3.74524714828897,0.10788973384029889,24.358365019011373,32.75855513307978,25.0394486692015,13.8483840304182,0.14211026615969,9.1290407
MEX,La Paz,Hombres,101943,2.95066851083448,0.051008897128785105,20.71059317461718,36.280078082850196,25.453439667265,14.4521938730467,0.10201779425757,9.3765167
MEX,La Paz,Mujeres,108457,4.4921028610417,0.16135426943396847,27.78704924532297,29.44853720829452,24.6503222475266,13.2808394110108,0.17979475736928,8.8963191
MEX,Lerma,Total,104692,4.90486379092958,0.1518740686967446,22.285370419898328,35.283498261567175,22.7772895732243,14.4423642685209,0.15473961716272,9.1424806
MEX,Lerma,Hombres,50425,3.31581556767476,0.150718889439762,19.67674764501731,37.374318294496774,24.4442240951908,14.8953891918691,0.14278631631135,9.4816419
